
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
.	.	.	.	.	.	. caxi4interconnect_TargetMuxController_Z22_1, 8, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_DERR_Target_Z39, 10, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RDataController_Z29, 63, 154, 20, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_ReadDataController_Z31, 32, 143, 10, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_RdFifoDualPort_1s_2_3s_2s_3s_0s_3s_0s_2_0, 31, 34, 10, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_DualPort_FF_SyncWr_SyncRd_1s_3s_2s_8s, 18, 8, 10, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_ReadDataMux_Z30_0, 1, 106, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_RequestQual_3s_1s_1s_1s_2s_0, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_ReadDataController_Z32, 31, 11, 10, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_RdFifoDualPort_1s_2_3s_2s_3s_0s_3s_0s_2_1, 31, 10, 10, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_DualPort_FF_SyncWr_SyncRd_1s_3s_2s_8s_0, 18, 8, 10, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RespController_Z38, 5, 15, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RoundRobinArb_3s_2s_0s_0, 5, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_TargetDataMuxController_Z37, 0, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_WDataController_Z36, 20, 35, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_FifoDualPort_0_2_3s_3s_1, 10, 10, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DualPort_FF_SyncWr_SyncRd_0_3s_3s_8s, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_FifoDualPort_0_2_3s_3s_1_0, 10, 18, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DualPort_FF_SyncWr_SyncRd_0_3s_3s_8s_0, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_InitiatorConvertor_Z41, 166, 90, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegisterSlice_Z45_1, 166, 90, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_4s_1s_0_1_3_1, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_64s_1s_0_1_3_0, 66, 36, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_69s_1s_0_1_3_1, 98, 52, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_InitiatorConvertor_Z46, 4, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegisterSlice_Z45_0, 4, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_4s_1s_0_1_3_0, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_69s_1s_0_1_3_0, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_ResetSync_0s_27s_3s, 3, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_TargetConvertor_Z49, 233, 136, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegisterSlice_Z48_1, 224, 122, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_5s_1s_0_1_3_1, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_65s_1s_0_1_3_0, 68, 37, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_70s_1s_0_1_3_1, 136, 71, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_76s_1s_0_1_3_1, 18, 12, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_TrgtProtocolConverter_Z53, 9, 14, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_TrgtAxi4ProtConvAXI4ID_1_2s_4s_0_0s_3s_0s_0_3, 9, 14, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FIFO_4s_2s_2s_3s_0s_4s_2s_0s_3s_2, 9, 10, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_4s_3s_0s_2s_4s_0s_2, 8, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_4s_2s_2s_0s_2, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_TargetConvertor_Z54, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegisterSlice_Z48_0, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_65s_1s_0_1_3_2, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	.	. CAPE_DEFAULT_GPIOS, 0, 0, 0, 0, 0, 0, 0, 0, 26
.	.	. CAPE_PWM, 455, 129, 338, 0, 0, 0, 0, 0, 0
.	.	.	. corepwm_C1, 455, 129, 338, 0, 0, 0, 0, 0, 0
.	.	.	.	. corepwm_Z19_CAPE, 455, 129, 338, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_pwm_gen_2s_32s_0_0s_2, 2, 10, 96, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_reg_if_Z20_2, 389, 118, 96, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_timebase_32s_0s_1_1_0, 64, 1, 146, 0, 0, 0, 0, 0, 0
