Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,LSRAM (20K),Chip Globals,PLL
BVF_RISCV_SUBSYSTEM_inst_0/PF_SOC_MSS_inst_0/MSSIO7_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/PF_SOC_MSS_inst_0/MSSIO8_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/PF_SOC_MSS_inst_0/MSSIO9_OUT_IOINST/Primitives,0,0,0,0,1,0,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/PF_SOC_MSS_inst_0/Primitives,2,0,0,0,0,10,0,0,0
BVF_RISCV_SUBSYSTEM_inst_0/Primitives,1,0,0,0,13,0,0,0,0
CAPE_inst_0/CAPE_DEFAULT_GPIOS_inst_0/Primitives,0,0,0,0,26,0,0,0,0
CAPE_inst_0/CoreAPB3_CAPE_0/CoreAPB3_CAPE_0/Primitives,2,0,0,0,0,0,0,0,0
CAPE_inst_0/CoreAPB3_CAPE_0/CoreAPB3_CAPE_0/u_mux_p_to_b3/Primitives,190,0,0,0,0,0,0,0,0
CAPE_inst_0/P8_GPIO_UPPER_0/CoreGPIO_P8_UPPER_0/CoreGPIO_P8_UPPER_0/Primitives,415,256,0,0,0,0,0,0,0
CAPE_inst_0/P8_GPIO_UPPER_0/Primitives,0,0,0,0,16,0,0,0,0
CAPE_inst_0/P9_GPIO_0/CoreGPIO_P9_0/CoreGPIO_P9_0/Primitives,428,266,0,0,0,0,0,0,0
CAPE_inst_0/P9_GPIO_0/Primitives,0,0,0,0,7,0,0,0,0
CAPE_inst_0/PWM_0/corepwm_C1_0/corepwm_C1_0/genblk3.corepwm_reg_if/Primitives,134,389,0,0,0,0,0,0,0
CAPE_inst_0/PWM_0/corepwm_C1_0/corepwm_C1_0/genblk5.genblk1.corepwm_timebase/Primitives,236,64,0,0,0,0,0,0,0
CAPE_inst_0/PWM_0/corepwm_C1_0/corepwm_C1_0/genblk6.corepwm_pwm_gen/Primitives,56,1,0,0,0,0,0,0,0
CAPE_inst_0/PWM_1/corepwm_C1_0/corepwm_C1_0/genblk3.corepwm_reg_if/Primitives,215,389,0,0,0,0,0,0,0
CAPE_inst_0/PWM_1/corepwm_C1_0/corepwm_C1_0/genblk5.genblk1.corepwm_timebase/Primitives,150,64,0,0,0,0,0,0,0
CAPE_inst_0/PWM_1/corepwm_C1_0/corepwm_C1_0/genblk6.corepwm_pwm_gen/Primitives,112,2,0,0,0,0,0,0,0
CAPE_inst_0/PWM_2/corepwm_C1_0/corepwm_C1_0/genblk3.corepwm_reg_if/Primitives,201,389,0,0,0,0,0,0,0
CAPE_inst_0/PWM_2/corepwm_C1_0/corepwm_C1_0/genblk5.genblk1.corepwm_timebase/Primitives,150,64,0,0,0,0,0,0,0
